strain,screw_percent,mixed_percent,edge_percent
3.542951000000000021e-04,1.714008384431252097e+01,2.056217994814977246e+01,6.229773620753770302e+01
3.572951000000000208e-04,1.730342146684260385e+01,2.089416612079879698e+01,6.180241241235859206e+01
3.602950999999999853e-04,1.758230241945931382e+01,2.105421037423412045e+01,6.136348720630655862e+01
3.632951000000000041e-04,1.790417178427596667e+01,2.150181014584784833e+01,6.059401806987619921e+01
3.662951000000000228e-04,1.825415435575142808e+01,2.205226897711252221e+01,5.969357666713604260e+01
3.692950999999999873e-04,1.879079086933212395e+01,2.175856527604713619e+01,5.945064385462075052e+01
3.722951000000000060e-04,1.887928603457745425e+01,2.240592476983731629e+01,5.871478919558523302e+01
3.752951000000000247e-04,1.937305894280977370e+01,2.255610986279531716e+01,5.807083119439490559e+01
3.782950999999999892e-04,2.013858935587308352e+01,2.216103284389857819e+01,5.770037780022833829e+01
3.812951000000000079e-04,2.090367181133457564e+01,2.214929844648169777e+01,5.694702974218373015e+01
3.842951000000000266e-04,2.118791297878823343e+01,2.232767269079491967e+01,5.648441433041684689e+01
3.872950999999999911e-04,2.172794989281435818e+01,2.180016767717143367e+01,5.647188243001420460e+01
3.902951000000000098e-04,2.257760444139198697e+01,2.179537097653081190e+01,5.562702458207719758e+01
3.932950999999999743e-04,2.278948341243581055e+01,2.268147005445773701e+01,5.452904653310646665e+01
3.962950999999999930e-04,2.324156187126633810e+01,2.240285660767208498e+01,5.435558152106158047e+01
3.992951000000000117e-04,2.345673086652884365e+01,2.258852935427719899e+01,5.395473977919395736e+01
4.022950999999999762e-04,2.400268006177985569e+01,2.282605002619379064e+01,5.317126991202636077e+01
4.052950999999999949e-04,2.465222359995037493e+01,2.266225594675307420e+01,5.268552045329654021e+01
4.082951000000000137e-04,2.497309624900750080e+01,2.312098128103102468e+01,5.190592246996147452e+01
4.112950999999999782e-04,2.560610320804576290e+01,2.285669795148719530e+01,5.153719884046703470e+01
4.142950999999999969e-04,2.639362268188052596e+01,2.230249557026444407e+01,5.130388174785503708e+01
4.172951000000000156e-04,2.681828870631185069e+01,2.236369930667192207e+01,5.081801198701623434e+01
4.202950999999999801e-04,2.716932823149378606e+01,2.246482133576139262e+01,5.036585043274482132e+01
4.232950999999999988e-04,2.759282246628105639e+01,2.246433410956702659e+01,4.994284342415193123e+01
4.262951000000000175e-04,2.775547013690920295e+01,2.233124871541436107e+01,4.991328114767643598e+01
4.292950999999999820e-04,2.815225163039396250e+01,2.207451262068314790e+01,4.977323574892289315e+01
4.322951000000000007e-04,2.847783230471668858e+01,2.255734895498692794e+01,4.896481874029638703e+01
4.352951000000000194e-04,2.909917573012639735e+01,2.216955374543893242e+01,4.873127052443467022e+01
4.382950999999999839e-04,2.937968408181268742e+01,2.239714480188470347e+01,4.822317111630260200e+01
4.412951000000000026e-04,2.997436131279519600e+01,2.285649487228645071e+01,4.716914381491835684e+01
4.442951000000000213e-04,3.046038270912053747e+01,2.269801270239477375e+01,4.684160458848467812e+01
4.472950999999999858e-04,3.110632355919981151e+01,2.242211934205145596e+01,4.647155709874873253e+01
4.502951000000000046e-04,3.159402026737065228e+01,2.301226022099975665e+01,4.539371951162959817e+01
4.532951000000000233e-04,3.188947796371243371e+01,2.351775693938294154e+01,4.459276509690462120e+01
4.562950999999999878e-04,3.261250822100614499e+01,2.258669894085462815e+01,4.480079283813922331e+01
4.592951000000000065e-04,3.298404927504273587e+01,2.276217572046531146e+01,4.425377500449194201e+01
4.622951000000000252e-04,3.336363607602154246e+01,2.264380404669737601e+01,4.399255987728107442e+01
4.652950999999999897e-04,3.351490576582298075e+01,2.263294545757578646e+01,4.385214877660124699e+01
4.682951000000000084e-04,3.383757238581685556e+01,2.294086992877713627e+01,4.322155768540601173e+01
4.712950999999999729e-04,3.411997482186315978e+01,2.327586241668017664e+01,4.260416276145666359e+01
4.742950999999999916e-04,3.469324057632470470e+01,2.406717282992534024e+01,4.123958659374996216e+01
4.772951000000000103e-04,3.511377244948968013e+01,2.334762010211772676e+01,4.153860744839258956e+01
4.802950999999999748e-04,3.548230035138816874e+01,2.354716671774187375e+01,4.097053293086996462e+01
4.832950999999999935e-04,3.572288846392508788e+01,2.329396215989919483e+01,4.098314937617572440e+01
4.862951000000000122e-04,3.610993252213852855e+01,2.340561235102556736e+01,4.048445512683591119e+01
4.892950999999999767e-04,3.655994669480092085e+01,2.359303201971949093e+01,3.984702128547957756e+01
4.922951000000000497e-04,3.694854051061202682e+01,2.444501584120044413e+01,3.860644364818753616e+01
4.952951000000000142e-04,3.744714509644529699e+01,2.444153509121839463e+01,3.811131981233631905e+01
4.982950999999999787e-04,3.775210863111948356e+01,2.412414124669539461e+01,3.812375012218512893e+01
5.012951000000000516e-04,3.792219974746541311e+01,2.460458298250672371e+01,3.747321727002786673e+01
5.042951000000000161e-04,3.828543296926076778e+01,2.453765408329634923e+01,3.717691294744289365e+01
5.072950999999999806e-04,3.870484386563317969e+01,2.409265760156906566e+01,3.720249853279776175e+01
5.102951000000000535e-04,3.882628548831361570e+01,2.492722933070921698e+01,3.624648518097716732e+01
5.132951000000000180e-04,3.924044989792450622e+01,2.443921194970208788e+01,3.632033815237340946e+01
5.162950999999999825e-04,3.959765818213201527e+01,2.461408711623200674e+01,3.578825470163597089e+01
5.192950999999999470e-04,4.000319148979956196e+01,2.466843825719659122e+01,3.532837025300383971e+01
5.222951000000000199e-04,4.031483223529799886e+01,2.522222437125181926e+01,3.446294339345016766e+01
5.252950999999999844e-04,4.082519451313306291e+01,2.468495607266562786e+01,3.448984941420130923e+01
5.282950999999999489e-04,4.135599662446350067e+01,2.468207328036194781e+01,3.396193009517455863e+01
5.312951000000000219e-04,4.155066182446803680e+01,2.471943537036136718e+01,3.372990280517058892e+01
5.342950999999999864e-04,4.207752774465891576e+01,2.440934879721247341e+01,3.351312345812860372e+01
5.372950999999999509e-04,4.248003866583493959e+01,2.418003923342496364e+01,3.333992210074010387e+01
5.402951000000000238e-04,4.278621450344331834e+01,2.444386353717782256e+01,3.276992195937886265e+01
5.432950999999999883e-04,4.286730238081970157e+01,2.477354925398974217e+01,3.235914836519055626e+01
5.462950999999999528e-04,4.329716576176453202e+01,2.481033764650035778e+01,3.189249659173511020e+01
5.492951000000000257e-04,4.357013925692214684e+01,2.516267820696102575e+01,3.126718253611682741e+01
5.522950999999999902e-04,4.385333440592745546e+01,2.477810483715835232e+01,3.136856075691419221e+01
5.552950999999999547e-04,4.408376900398674536e+01,2.477268196903346364e+01,3.114354902697979810e+01
5.582951000000000276e-04,4.450188319902468237e+01,2.470146288288083625e+01,3.079665391809448494e+01
5.612950999999999921e-04,4.468000861867708551e+01,2.497438590527788094e+01,3.034560547604504421e+01
5.642950999999999566e-04,4.503548861068668430e+01,2.526199864768684122e+01,2.970251274162646737e+01
5.672951000000000295e-04,4.562068291983642609e+01,2.528781476128913752e+01,2.909150231887443638e+01
